Activity_ActivityIdentifier,Site_Abb,Activity_StartDate,variable,G_value,mine_value,difference_G_minus_mine,issue
438e4d6e-b1b5-4309-a674-03cb7f0254e8,"Maple Creek, NE",2013-12-17,Water_Temperature_C,,1.5,,mine missing (G has value)
438e4d6e-b1b5-4309-a674-03cb7f0254e8,"Maple Creek, NE",2013-12-17,pH,,7.8,,mine missing (G has value)
5c0830d4-c7d8-47bb-8f8d-e61ae2ae431f,"Maple Creek, NE",2014-01-23,Dissolved_Oxygen_mg_L,,14.8,,mine missing (G has value)
5c0830d4-c7d8-47bb-8f8d-e61ae2ae431f,"Maple Creek, NE",2014-01-23,Specific_Conductance,,867.0,,mine missing (G has value)
5c0830d4-c7d8-47bb-8f8d-e61ae2ae431f,"Maple Creek, NE",2014-01-23,Water_Temperature_C,,0.2,,mine missing (G has value)
063ec376-124d-4735-97d2-62be1374c1c0,"Maple Creek, NE",2014-02-27,Dissolved_Oxygen_mg_L,,13.0,,mine missing (G has value)
063ec376-124d-4735-97d2-62be1374c1c0,"Maple Creek, NE",2014-02-27,Specific_Conductance,,763.0,,mine missing (G has value)
063ec376-124d-4735-97d2-62be1374c1c0,"Maple Creek, NE",2014-02-27,Water_Temperature_C,,2.6,,mine missing (G has value)
063ec376-124d-4735-97d2-62be1374c1c0,"Maple Creek, NE",2014-02-27,pH,,8.0,,mine missing (G has value)
c7903d6f-4282-49ca-bdc3-29ddb144adb1,"Maple Creek, NE",2014-03-12,Dissolved_Oxygen_mg_L,,13.0,,mine missing (G has value)
c7903d6f-4282-49ca-bdc3-29ddb144adb1,"Maple Creek, NE",2014-03-12,Specific_Conductance,,572.0,,mine missing (G has value)
c7903d6f-4282-49ca-bdc3-29ddb144adb1,"Maple Creek, NE",2014-03-12,Water_Temperature_C,,2.5,,mine missing (G has value)
c7903d6f-4282-49ca-bdc3-29ddb144adb1,"Maple Creek, NE",2014-03-12,pH,,8.1,,mine missing (G has value)
2948974e-ad6e-4298-a875-1fcc444539d2,"Maple Creek, NE",2014-03-18,Dissolved_Oxygen_mg_L,,12.0,,mine missing (G has value)
2948974e-ad6e-4298-a875-1fcc444539d2,"Maple Creek, NE",2014-03-18,Specific_Conductance,,663.0,,mine missing (G has value)
2948974e-ad6e-4298-a875-1fcc444539d2,"Maple Creek, NE",2014-03-18,Water_Temperature_C,,4.3,,mine missing (G has value)
2948974e-ad6e-4298-a875-1fcc444539d2,"Maple Creek, NE",2014-03-18,pH,,8.2,,mine missing (G has value)
