Activity_ActivityIdentifier,Site_Abb,Water_Year,Activity_StartDate,variable,method1_value,method2_value,difference_method1_minus_method2,exception_type
751137f1-a8ca-4dfe-95de-ecd834d2f411,"Maple Creek, NE",2013,2013-05-14,pH,8.3,,,method2_missing_method1_has_value
8f511748-9cd5-4275-a853-7126307ab95a,"Maple Creek, NE",2013,2013-05-21,Dissolved_Oxygen_mg_L,7.0,,,method2_missing_method1_has_value
8f511748-9cd5-4275-a853-7126307ab95a,"Maple Creek, NE",2013,2013-05-21,Specific_Conductance,495.0,,,method2_missing_method1_has_value
8f511748-9cd5-4275-a853-7126307ab95a,"Maple Creek, NE",2013,2013-05-21,Water_Temperature_C,14.9,,,method2_missing_method1_has_value
8f511748-9cd5-4275-a853-7126307ab95a,"Maple Creek, NE",2013,2013-05-21,pH,7.8,,,method2_missing_method1_has_value
a6a3981a-4fc6-4985-8686-77cdcbc1ee4b,"Maple Creek, NE",2013,2013-06-03,Discharge_cfs,91.0,91.5,-0.5,values_differ
a6a3981a-4fc6-4985-8686-77cdcbc1ee4b,"Maple Creek, NE",2013,2013-06-03,Dissolved_Oxygen_mg_L,8.1,,,method2_missing_method1_has_value
a6a3981a-4fc6-4985-8686-77cdcbc1ee4b,"Maple Creek, NE",2013,2013-06-03,Specific_Conductance,803.0,,,method2_missing_method1_has_value
a6a3981a-4fc6-4985-8686-77cdcbc1ee4b,"Maple Creek, NE",2013,2013-06-03,Water_Temperature_C,21.7,,,method2_missing_method1_has_value
a6a3981a-4fc6-4985-8686-77cdcbc1ee4b,"Maple Creek, NE",2013,2013-06-03,pH,8.2,,,method2_missing_method1_has_value
87e3c7ed-83ef-4b36-9972-acd7e88f5700,"Maple Creek, NE",2013,2013-06-10,Dissolved_Oxygen_mg_L,7.7,,,method2_missing_method1_has_value
87e3c7ed-83ef-4b36-9972-acd7e88f5700,"Maple Creek, NE",2013,2013-06-10,Specific_Conductance,416.0,,,method2_missing_method1_has_value
87e3c7ed-83ef-4b36-9972-acd7e88f5700,"Maple Creek, NE",2013,2013-06-10,Water_Temperature_C,20.8,,,method2_missing_method1_has_value
87e3c7ed-83ef-4b36-9972-acd7e88f5700,"Maple Creek, NE",2013,2013-06-10,pH,7.6,,,method2_missing_method1_has_value
7e58c2dc-16ed-4c92-a689-eb0abc525b2f,"Maple Creek, NE",2013,2013-06-17,Discharge_cfs,56.0,55.9,0.10000000000000142,values_differ
7e58c2dc-16ed-4c92-a689-eb0abc525b2f,"Maple Creek, NE",2013,2013-06-17,Dissolved_Oxygen_mg_L,6.7,,,method2_missing_method1_has_value
7e58c2dc-16ed-4c92-a689-eb0abc525b2f,"Maple Creek, NE",2013,2013-06-17,Specific_Conductance,752.0,,,method2_missing_method1_has_value
7e58c2dc-16ed-4c92-a689-eb0abc525b2f,"Maple Creek, NE",2013,2013-06-17,Water_Temperature_C,29.9,,,method2_missing_method1_has_value
7e58c2dc-16ed-4c92-a689-eb0abc525b2f,"Maple Creek, NE",2013,2013-06-17,pH,8.2,,,method2_missing_method1_has_value
7e113f78-24b6-40f9-ba4f-fb744d158ec8,"Maple Creek, NE",2013,2013-06-24,Dissolved_Oxygen_mg_L,7.2,,,method2_missing_method1_has_value
7e113f78-24b6-40f9-ba4f-fb744d158ec8,"Maple Creek, NE",2013,2013-06-24,Specific_Conductance,658.0,,,method2_missing_method1_has_value
7e113f78-24b6-40f9-ba4f-fb744d158ec8,"Maple Creek, NE",2013,2013-06-24,Water_Temperature_C,22.6,,,method2_missing_method1_has_value
7e113f78-24b6-40f9-ba4f-fb744d158ec8,"Maple Creek, NE",2013,2013-06-24,pH,8.2,,,method2_missing_method1_has_value
f57c8fce-fee3-470c-be89-7e83028b0109,"Maple Creek, NE",2013,2013-07-08,Discharge_cfs,38.0,37.9,0.10000000000000142,values_differ
f57c8fce-fee3-470c-be89-7e83028b0109,"Maple Creek, NE",2013,2013-07-08,Dissolved_Oxygen_mg_L,8.8,,,method2_missing_method1_has_value
f57c8fce-fee3-470c-be89-7e83028b0109,"Maple Creek, NE",2013,2013-07-08,Specific_Conductance,660.0,,,method2_missing_method1_has_value
f57c8fce-fee3-470c-be89-7e83028b0109,"Maple Creek, NE",2013,2013-07-08,Water_Temperature_C,28.0,,,method2_missing_method1_has_value
f57c8fce-fee3-470c-be89-7e83028b0109,"Maple Creek, NE",2013,2013-07-08,pH,8.3,,,method2_missing_method1_has_value
dcd009a9-eb8a-460a-a2be-88360d32cff5,"Maple Creek, NE",2013,2013-07-15,Dissolved_Oxygen_mg_L,7.8,,,method2_missing_method1_has_value
dcd009a9-eb8a-460a-a2be-88360d32cff5,"Maple Creek, NE",2013,2013-07-15,Specific_Conductance,636.0,,,method2_missing_method1_has_value
dcd009a9-eb8a-460a-a2be-88360d32cff5,"Maple Creek, NE",2013,2013-07-15,Water_Temperature_C,26.8,,,method2_missing_method1_has_value
dcd009a9-eb8a-460a-a2be-88360d32cff5,"Maple Creek, NE",2013,2013-07-15,pH,8.3,,,method2_missing_method1_has_value
d64c9a55-cc53-4da8-ba66-a4a0c5d297f0,"Maple Creek, NE",2013,2013-07-22,Discharge_cfs,21.0,20.9,0.10000000000000142,values_differ
d64c9a55-cc53-4da8-ba66-a4a0c5d297f0,"Maple Creek, NE",2013,2013-07-22,Dissolved_Oxygen_mg_L,9.5,,,method2_missing_method1_has_value
d64c9a55-cc53-4da8-ba66-a4a0c5d297f0,"Maple Creek, NE",2013,2013-07-22,Specific_Conductance,561.0,,,method2_missing_method1_has_value
d64c9a55-cc53-4da8-ba66-a4a0c5d297f0,"Maple Creek, NE",2013,2013-07-22,Water_Temperature_C,28.8,,,method2_missing_method1_has_value
d64c9a55-cc53-4da8-ba66-a4a0c5d297f0,"Maple Creek, NE",2013,2013-07-22,pH,8.2,,,method2_missing_method1_has_value
f013dbe4-8316-48e8-bb92-b73ceaf95703,"Maple Creek, NE",2013,2013-07-29,Discharge_cfs,21.0,20.9,0.10000000000000142,values_differ
f013dbe4-8316-48e8-bb92-b73ceaf95703,"Maple Creek, NE",2013,2013-07-29,Dissolved_Oxygen_mg_L,8.9,,,method2_missing_method1_has_value
f013dbe4-8316-48e8-bb92-b73ceaf95703,"Maple Creek, NE",2013,2013-07-29,Specific_Conductance,558.0,,,method2_missing_method1_has_value
f013dbe4-8316-48e8-bb92-b73ceaf95703,"Maple Creek, NE",2013,2013-07-29,Water_Temperature_C,20.4,,,method2_missing_method1_has_value
f013dbe4-8316-48e8-bb92-b73ceaf95703,"Maple Creek, NE",2013,2013-07-29,pH,8.3,,,method2_missing_method1_has_value
379ebae4-00cd-40c6-ad1b-01f2f78b5e3f,"Maple Creek, NE",2013,2013-08-05,Discharge_cfs,55.0,54.5,0.5,values_differ
379ebae4-00cd-40c6-ad1b-01f2f78b5e3f,"Maple Creek, NE",2013,2013-08-05,Dissolved_Oxygen_mg_L,7.6,,,method2_missing_method1_has_value
379ebae4-00cd-40c6-ad1b-01f2f78b5e3f,"Maple Creek, NE",2013,2013-08-05,Specific_Conductance,493.0,,,method2_missing_method1_has_value
379ebae4-00cd-40c6-ad1b-01f2f78b5e3f,"Maple Creek, NE",2013,2013-08-05,Water_Temperature_C,22.1,,,method2_missing_method1_has_value
379ebae4-00cd-40c6-ad1b-01f2f78b5e3f,"Maple Creek, NE",2013,2013-08-05,pH,8.2,,,method2_missing_method1_has_value
5c3312df-73e6-411f-b0d8-e89567332a62,"Maple Creek, NE",2013,2013-08-14,Discharge_cfs,39.0,39.1,-0.10000000000000142,values_differ
5c3312df-73e6-411f-b0d8-e89567332a62,"Maple Creek, NE",2013,2013-08-14,Dissolved_Oxygen_mg_L,9.6,,,method2_missing_method1_has_value
5c3312df-73e6-411f-b0d8-e89567332a62,"Maple Creek, NE",2013,2013-08-14,Specific_Conductance,676.0,,,method2_missing_method1_has_value
5c3312df-73e6-411f-b0d8-e89567332a62,"Maple Creek, NE",2013,2013-08-14,Water_Temperature_C,21.9,,,method2_missing_method1_has_value
5c3312df-73e6-411f-b0d8-e89567332a62,"Maple Creek, NE",2013,2013-08-14,pH,8.3,,,method2_missing_method1_has_value
8cd86a07-b020-47c6-be62-8e201188fbd1,"Maple Creek, NE",2013,2013-08-27,Discharge_cfs,15.0,14.8,0.1999999999999993,values_differ
8cd86a07-b020-47c6-be62-8e201188fbd1,"Maple Creek, NE",2013,2013-08-27,Dissolved_Oxygen_mg_L,8.2,,,method2_missing_method1_has_value
8cd86a07-b020-47c6-be62-8e201188fbd1,"Maple Creek, NE",2013,2013-08-27,Specific_Conductance,634.0,,,method2_missing_method1_has_value
8cd86a07-b020-47c6-be62-8e201188fbd1,"Maple Creek, NE",2013,2013-08-27,Water_Temperature_C,27.0,,,method2_missing_method1_has_value
